# x y vx vy mass
1.083043 -1.243330 -4.173513 -1.424318 1.000000
1.390982 -0.735711 1.822848 -2.696678 1.000000
1.426143 -0.600066 2.001648 -2.132821 1.000000
0.646465 -0.693353 2.141713 2.469196 1.000000
0.534171 -0.856024 0.945627 3.059527 1.000000
1.443330 -0.873708 0.902309 -3.167424 1.000000
0.889105 -1.358845 -3.485956 1.077274 1.000000
1.190862 -0.199861 2.398154 -0.572046 1.000000
0.613712 -1.916999 -2.065822 0.870232 1.000000
1.431494 -0.898762 0.767211 -3.269969 1.000000
0.859370 -1.255938 -3.626438 1.992613 1.000000
0.534037 -0.951656 0.337142 3.249541 1.000000
0.750731 -1.466893 -2.711375 1.447570 1.000000
1.382163 -0.640739 2.114742 -2.249548 1.000000
1.095752 -2.148932 -2.075312 -0.172957 1.000000
0.690618 -1.018912 -0.245055 4.008877 1.000000
1.832860 -0.690149 0.827096 -2.223185 1.000000
1.869094 -0.415582 1.219249 -1.813159 1.000000
1.591113 -1.049839 -0.243918 -2.892960 1.000000
1.559688 -1.428571 -1.619163 -2.114529 1.000000
0.066973 -0.445416 1.096641 1.844981 1.000000
0.681793 -1.045536 -0.558687 3.904159 1.000000
0.619542 -1.782622 -2.155805 1.048007 1.000000
2.332027 -0.825452 0.250660 -1.912859 1.000000
1.084085 -0.805190 4.456898 -1.923718 1.000000
1.090683 -1.050571 -3.379850 -6.060688 1.000000
1.660680 -2.059155 -1.698067 -1.059220 1.000000
1.218910 -1.484842 -2.794173 -1.261589 1.000000
1.098380 -0.909894 4.134926 -4.514573 1.000000
0.235216 -1.866495 -1.559435 1.376386 1.000000
0.831260 -0.306779 2.572173 0.626105 1.000000
0.519314 -1.437422 -1.866789 2.051425 1.000000
0.884332 -1.372412 -3.419610 1.062099 1.000000
0.426387 -0.204303 1.831452 1.320281 1.000000
0.788527 -1.693163 -2.512346 0.766475 1.000000
1.665273 -1.362774 -1.229779 -2.255233 1.000000
0.536083 -0.756197 1.436909 2.734197 1.000000
1.052640 -0.802191 4.776121 -1.270996 1.000000
0.451222 -1.037927 -0.207866 3.007700 1.000000
0.564810 -0.357417 2.101612 1.423320 1.000000
0.558548 -0.452123 2.075783 1.672561 1.000000
1.199601 -0.845001 2.728129 -3.513172 1.000000
1.027345 -1.019550 -7.093294 -9.921172 1.000000
0.575219 -1.072742 -0.574921 3.357285 1.000000
1.493142 -0.448065 1.938177 -1.731722 1.000000
1.147968 -0.769357 3.595308 -2.306552 1.000000
1.854924 -0.391868 1.265393 -1.778915 1.000000
0.811241 -0.798853 3.104577 2.913375 1.000000
0.863032 -0.818232 3.743315 2.820704 1.000000
0.430371 -1.582732 -1.771339 1.731509 1.000000
0.797867 -0.788955 2.987277 2.861133 1.000000
0.550225 -0.658868 1.798470 2.371240 1.000000
0.772063 -0.812175 2.616529 3.175319 1.000000
1.109297 -0.729178 3.837023 -1.548523 1.000000
1.329489 -0.393617 2.365084 -1.285113 1.000000
0.424467 -1.120405 -0.597135 2.854284 1.000000
0.914805 -1.126591 -4.749001 3.196038 1.000000
0.493776 -0.779055 1.203535 2.757516 1.000000
1.088814 -1.535831 -2.993252 -0.496133 1.000000
0.375952 -0.755285 0.997074 2.542643 1.000000
1.181733 -0.844504 2.972510 -3.474072 1.000000
1.741639 -1.384593 -1.126220 -2.171770 1.000000
0.859271 -0.647041 3.369523 1.343473 1.000000
1.207721 -0.799267 2.891126 -2.991763 1.000000
0.725853 -1.675658 -2.426499 0.984548 1.000000
1.121839 -0.946151 2.476665 -5.603691 1.000000
0.813772 -0.190724 2.391276 0.550272 1.000000
1.431108 -1.007718 -0.060954 -3.404769 1.000000
0.298227 -0.762475 0.832861 2.460706 1.000000
1.706845 0.013006 1.649953 -1.151287 1.000000
0.779658 -0.539717 2.823356 1.351567 1.000000
1.600555 0.216290 1.721488 -0.850001 1.000000
0.263462 -1.511670 -1.347142 1.939184 1.000000
0.920986 -1.548088 -2.974128 0.428759 1.000000
0.664953 -1.150803 -1.514077 3.363918 1.000000
0.486675 -0.856067 0.826809 2.948745 1.000000
1.643051 -1.061804 -0.266158 -2.769284 1.000000
1.078185 -1.113130 -4.960454 -3.428201 1.000000
0.584184 -0.997719 0.019023 3.467566 1.000000
1.946867 -1.182811 -0.431651 -2.235733 1.000000
1.895539 -1.005916 -0.015609 -2.362808 1.000000
1.045268 -0.310910 2.685001 -0.176383 1.000000
1.028422 -1.221806 -4.690221 -0.600997 1.000000
0.926049 -1.032830 -3.189705 7.184857 1.000000
0.574170 -1.097336 -0.753905 3.298208 1.000000
0.697509 -0.865783 1.576477 3.552974 1.000000
1.432294 -0.829450 1.203781 -3.051240 1.000000
-0.110132 -1.236740 -0.437733 2.052635 1.000000
1.164500 -0.928049 2.114724 -4.834841 1.000000
0.353695 -1.357800 -1.260061 2.276085 1.000000
1.425667 -1.126463 -0.955638 -3.216614 1.000000
0.332147 -1.514295 -1.485977 1.929659 1.000000
1.105120 -1.484951 -3.102275 -0.672459 1.000000
0.702125 -0.935223 0.860603 3.957473 1.000000
1.117828 -0.859684 4.000459 -3.359318 1.000000
1.367372 -0.619985 2.211294 -2.137728 1.000000
1.508309 -1.483790 -1.840275 -1.933543 1.000000
1.044757 -1.340523 -3.782969 -0.497224 1.000000
0.467032 -0.317681 1.893843 1.479305 1.000000
1.210203 -0.930152 1.498196 -4.508697 1.000000
1.093190 -1.372184 -3.501869 -0.876821 1.000000
0.233128 -0.875154 0.407620 2.503820 1.000000
0.957612 -1.195056 -4.890752 1.062830 1.000000
1.006434 -0.628695 3.668779 -0.063573 1.000000
1.329979 -1.347481 -2.342319 -2.224337 1.000000
1.319372 -1.159114 -1.669287 -3.350583 1.000000
1.060901 -0.398683 2.861603 -0.289820 1.000000
2.086581 -2.008842 -1.249467 -1.345749 1.000000
1.015250 -0.909385 7.274232 -1.224220 1.000000
1.286554 -0.337011 2.415160 -1.043869 1.000000
0.434300 -1.139299 -0.700455 2.844575 1.000000
0.468631 -1.026655 -0.153587 3.061739 1.000000
1.963667 -1.192991 -0.442918 -2.211632 1.000000
0.571728 -1.108006 -0.822754 3.262432 1.000000
0.884701 -0.480143 2.991591 0.663506 1.000000
1.871030 -1.464690 -1.059299 -1.985584 1.000000
1.628837 -0.859363 0.607965 -2.718432 1.000000
1.475314 -0.647707 1.731040 -2.335516 1.000000
0.743558 -1.773986 -2.350669 0.778839 1.000000
1.001948 -1.535325 -3.056130 -0.011119 1.000000
1.003839 -1.776751 -2.537092 -0.012540 1.000000
0.737454 -0.398229 2.529380 1.103538 1.000000
1.921576 -1.361382 -0.820475 -2.092330 1.000000
0.770487 -0.706327 2.885857 2.255376 1.000000
1.332809 -1.184599 -1.758130 -3.169692 1.000000
2.093754 -1.254797 -0.478726 -2.055000 1.000000
1.242936 -0.314956 2.471958 -0.876624 1.000000
1.319626 -1.031963 -0.392585 -3.925749 1.000000
1.246760 -0.955864 0.786340 -4.396333 1.000000
0.702419 -0.898498 1.287371 3.774280 1.000000
1.430563 -0.812507 1.302738 -2.991638 1.000000
0.828692 -0.125809 2.324920 0.455595 1.000000
1.279530 -1.129027 -1.688930 -3.658968 1.000000
1.220348 -1.427591 -2.865885 -1.476861 1.000000
1.445649 -0.750017 1.530372 -2.728223 1.000000
1.805395 -0.967170 0.101438 -2.488512 1.000000
0.427020 -1.427300 -1.581145 2.120206 1.000000
1.020181 -0.894261 6.694425 -1.277648 1.000000
1.048738 -0.393189 2.856694 -0.229445 1.000000
0.967711 -0.720344 4.186576 0.483384 1.000000
0.905080 -0.778291 4.185749 1.792043 1.000000
0.838265 -2.132351 -2.069743 0.295624 1.000000
0.838478 -1.009156 -0.314621 5.550392 1.000000
0.641439 -1.520616 -2.316210 1.595229 1.000000
0.793486 -0.419556 2.683997 0.954932 1.000000
-0.101520 -0.760251 0.447896 2.057846 1.000000
1.489043 -0.416135 1.964229 -1.645229 1.000000
1.347880 -0.766274 1.926235 -2.867024 1.000000
1.210798 -1.237694 -2.968075 -2.632225 1.000000
0.890210 -1.099364 -3.899217 4.308378 1.000000
2.196976 -1.721490 -0.976424 -1.619921 1.000000
-0.029627 -1.402866 -0.774866 1.980369 1.000000
0.939428 -1.027105 -3.545487 7.923130 1.000000
0.415203 -0.805755 0.897921 2.703297 1.000000
0.864031 -0.307519 2.611917 0.512852 1.000000
0.225736 -0.930314 0.227336 2.525879 1.000000
0.498779 -1.124171 -0.748275 3.020433 1.000000
1.147759 -0.359420 2.687283 -0.619859 1.000000
0.655779 -0.577434 2.348318 1.912934 1.000000
0.853571 -1.370295 -3.295247 1.303069 1.000000
1.078588 -1.762957 -2.539786 -0.261611 1.000000
0.927572 -0.354237 2.756617 0.309180 1.000000
1.763741 -0.363895 1.435388 -1.723401 1.000000
0.877334 -0.582948 3.253601 0.956972 1.000000
2.116405 -1.137063 -0.256922 -2.092672 1.000000
1.331057 -1.854728 -2.177921 -0.843561 1.000000
1.018441 0.072588 2.158601 -0.037113 1.000000
0.543540 -1.514334 -2.016770 1.789839 1.000000
0.505327 -0.409017 1.953173 1.634874 1.000000
1.160440 -1.416868 -3.122437 -1.201736 1.000000
1.576580 0.363614 1.692633 -0.715700 1.000000
1.031223 -1.496875 -3.162845 -0.198751 1.000000
0.699003 -1.738557 -2.318689 0.944976 1.000000
0.982755 -0.514091 3.204776 0.113741 1.000000
2.152629 -0.819161 0.320865 -2.045123 1.000000
1.031301 -1.590943 -2.902683 -0.153749 1.000000
1.119193 -0.085674 2.309115 -0.301020 1.000000
1.578970 -1.652813 -1.790921 -1.588342 1.000000
0.430121 -1.215847 -1.014592 2.678728 1.000000
1.807717 -0.862315 0.415102 -2.435150 1.000000
0.397582 -1.476078 -1.582226 2.002111 1.000000
1.756628 -1.104662 -0.350572 -2.534371 1.000000
1.250310 -0.912123 1.438089 -4.096267 1.000000
1.230144 -0.996498 0.070912 -4.660252 1.000000
0.290777 -0.870293 0.473759 2.590462 1.000000
1.295960 -1.759840 -2.307363 -0.898725 1.000000
1.991600 -0.735977 0.567952 -2.133079 1.000000
1.549986 -1.032393 -0.177127 -3.007330 1.000000
1.539467 -0.511577 1.759265 -1.943122 1.000000
-0.606811 -0.928392 0.078497 1.761393 1.000000
1.640731 -1.206182 -0.834887 -2.594497 1.000000
0.162408 -0.956707 0.126034 2.438371 1.000000
0.567657 -0.371729 2.109301 1.451510 1.000000
0.478189 -0.787991 1.121514 2.760341 1.000000
1.308227 -1.937142 -2.138581 -0.703382 1.000000
0.786834 -0.408726 2.653316 0.956573 1.000000
1.845404 -0.977183 0.065600 -2.430612 1.000000
-0.062030 -0.882391 0.238096 2.150039 1.000000
1.348680 -1.079099 -0.827315 -3.646919 1.000000
1.056945 -0.940352 5.632076 -5.376874 1.000000
1.457282 -2.323823 -1.785890 -0.616892 1.000000
1.280800 -0.785853 2.281797 -2.992004 1.000000
0.503200 -0.933263 0.420488 3.130176 1.000000
1.065841 -1.358726 -3.641765 -0.668410 1.000000
0.870684 -2.085970 -2.123195 0.252828 1.000000
0.194560 -1.971728 -1.532393 1.270161 1.000000
1.189522 -1.311762 -3.163297 -1.922990 1.000000
0.650061 -1.360152 -2.263107 2.198929 1.000000
1.392169 -0.475505 2.212921 -1.654617 1.000000
1.035573 -1.753738 -2.571285 -0.121353 1.000000
1.291624 -0.562676 2.566000 -1.711101 1.000000
0.641397 -1.496313 -2.316244 1.673565 1.000000
0.401342 -1.290647 -1.197143 2.465804 1.000000
1.479455 -1.867480 -1.965751 -1.086468 1.000000
0.806539 -1.207319 -3.070070 2.864858 1.000000
1.624568 -0.778963 0.916523 -2.589757 1.000000
1.351931 -0.356435 2.290719 -1.252670 1.000000
1.190887 -1.676441 -2.566924 -0.724367 1.000000
1.139675 -0.845112 3.636141 -3.279004 1.000000
1.389449 -0.803936 1.522740 -3.024679 1.000000
0.550726 -1.489309 -2.020874 1.855529 1.000000
0.611212 -0.879706 1.036050 3.348496 1.000000
0.727208 -1.516133 -2.587400 1.367520 1.000000
1.119252 -1.295321 -3.673979 -1.483571 1.000000
1.165862 -0.122360 2.324858 -0.439367 1.000000
1.209191 -0.497155 2.797536 -1.163814 1.000000
0.582541 0.133199 1.909330 0.703377 1.000000
-0.048559 -1.528022 -0.928182 1.843207 1.000000
1.622398 -0.059235 1.755876 -1.161665 1.000000
1.533448 -0.171491 1.893956 -1.219452 1.000000
0.979969 -1.401436 -3.522627 0.175773 1.000000
1.152891 -1.537181 -2.877753 -0.819057 1.000000
0.475796 -1.006325 -0.037262 3.088073 1.000000
0.972813 -1.516952 -3.103562 0.163222 1.000000
1.064838 -0.507863 3.146566 -0.414555 1.000000
0.815805 -0.976160 0.665989 5.145583 1.000000
1.334550 -1.072547 -0.809931 -3.734969 1.000000
0.500895 -0.060176 1.914427 1.016680 1.000000
0.659216 -0.757556 2.004380 2.817399 1.000000
1.481932 -1.167348 -1.026941 -2.957401 1.000000
1.606204 -1.692177 -1.753664 -1.535847 1.000000
0.961701 -0.857824 5.626708 1.515722 1.000000
0.945385 -0.657867 3.751381 0.598840 1.000000
-0.442490 -1.406483 -0.495415 1.758084 1.000000
0.402072 -0.939953 0.288227 2.870068 1.000000
0.675857 -0.949807 0.597451 3.858326 1.000000
0.174627 -2.597842 -1.481425 0.765237 1.000000
2.267007 -1.055826 -0.087401 -1.983644 1.000000
0.737417 -1.253174 -2.569805 2.665313 1.000000
1.101791 -0.897681 4.172693 -4.151139 1.000000
0.666724 -1.740651 -2.262665 1.018146 1.000000
0.805361 -2.131999 -2.056231 0.353554 1.000000
2.012498 -1.172453 -0.370468 -2.175069 1.000000
0.951410 -0.837501 5.201946 1.555466 1.000000
1.065084 -1.054168 -4.915697 -5.906269 1.000000
0.738523 -0.925309 1.177756 4.123059 1.000000
1.502091 -1.621120 -1.945825 -1.572933 1.000000
1.490040 -1.469154 -1.877408 -1.960989 1.000000
0.614591 -0.740637 1.831642 2.721786 1.000000
1.003937 -0.978052 14.739016 -2.644025 1.000000
1.343916 -0.743196 2.042081 -2.734785 1.000000
0.748168 -0.550392 2.717621 1.522178 1.000000
0.220646 -1.046472 -0.150631 2.526164 1.000000
1.839103 -2.029111 -1.503930 -1.226256 1.000000
0.940258 -0.989690 1.544354 8.949231 1.000000
1.252118 -1.455409 -2.711483 -1.501098 1.000000
0.603274 -1.807840 -2.115670 1.038993 1.000000
1.083552 -1.328887 -3.720406 -0.945152 1.000000
0.723500 -1.208015 -2.285322 3.037727 1.000000
1.204763 -1.141518 -2.548231 -3.687044 1.000000
1.905103 -1.010425 -0.027070 -2.350135 1.000000
1.625802 -0.980264 0.089079 -2.824508 1.000000
1.253076 -0.339182 2.482364 -0.950681 1.000000
0.684936 0.233601 1.920061 0.490388 1.000000
1.460838 -0.991322 0.062008 -3.293028 1.000000
1.435265 -0.821592 1.236477 -3.016647 1.000000
0.810169 -1.032827 -0.868106 5.020005 1.000000
1.622896 -1.031722 -0.144004 -2.827702 1.000000
0.720240 -1.691053 -2.400468 0.971784 1.000000
0.319307 -1.073586 -0.290448 2.686736 1.000000
1.291275 -0.592624 2.570335 -1.837797 1.000000
0.677721 -0.819303 1.799079 3.208714 1.000000
0.665490 -1.248506 -2.065671 2.780573 1.000000
0.279257 -0.617241 1.160959 2.186110 1.000000
0.707410 -0.881469 1.494278 3.688573 1.000000
2.017721 -1.215948 -0.455036 -2.144500 1.000000
1.232967 -0.728046 2.837803 -2.430971 1.000000
1.358245 -1.012642 -0.131707 -3.732412 1.000000
1.540541 -1.293933 -1.361803 -2.504346 1.000000
2.101938 -1.473333 -0.805864 -1.876085 1.000000
0.926260 -1.177730 -4.708358 1.953488 1.000000
0.322393 -0.675545 1.114133 2.326803 1.000000
0.724450 -2.116625 -2.024309 0.499539 1.000000
1.297411 -1.009015 -0.124204 -4.097391 1.000000
0.973848 -1.575243 -2.943655 0.133828 1.000000
1.263694 -1.214861 -2.421832 -2.972252 1.000000
0.064081 -0.939227 0.149612 2.304068 1.000000
0.943482 -0.701499 3.986022 0.754708 1.000000
0.666411 -1.240821 -2.040477 2.826505 1.000000
0.240075 -1.068059 -0.228356 2.549749 1.000000
1.014518 -0.739362 4.369758 -0.243408 1.000000
0.661012 -1.022131 -0.249937 3.828316 1.000000
1.373006 -0.783450 1.709467 -2.944543 1.000000
0.395225 -0.800617 0.877353 2.661218 1.000000
0.643270 -1.180278 -1.595274 3.156680 1.000000
0.218162 -2.302025 -1.555549 0.934074 1.000000
1.683867 -0.765538 0.852905 -2.487715 1.000000
0.815879 -0.660414 3.162758 1.714828 1.000000
0.324954 -0.277262 1.643234 1.534800 1.000000
1.295555 -0.585446 2.551704 -1.819229 1.000000
2.565321 -1.254104 -0.284525 -1.752714 1.000000
1.762967 -0.893484 0.352251 -2.523161 1.000000
1.420279 -0.834042 1.221738 -3.093986 1.000000
1.026558 -0.837553 5.439238 -0.889232 1.000000
1.203687 -0.450303 2.738523 -1.014742 1.000000
0.961125 -0.007393 2.241801 0.087800 1.000000
1.229618 -2.237568 -1.959640 -0.363591 1.000000
1.558665 -0.701224 1.324859 -2.477278 1.000000
0.605814 -1.491285 -2.197536 1.763208 1.000000
0.750516 -1.870177 -2.259179 0.647717 1.000000
1.732596 -1.302909 -0.959607 -2.320845 1.000000
1.178619 -1.164188 -3.072185 -3.342215 1.000000
1.466323 -0.603309 1.851696 -2.176727 1.000000
0.834717 -0.741842 3.401337 2.177672 1.000000
1.327975 -1.820515 -2.208826 -0.882908 1.000000
1.038339 -0.948755 7.077406 -5.294908 1.000000
2.276365 -1.204131 -0.310603 -1.942097 1.000000
1.095560 -0.619405 3.462108 -0.869266 1.000000
2.127099 -1.318089 -0.561215 -1.988577 1.000000
1.174108 -0.761337 3.323589 -2.424609 1.000000
0.047419 -0.812154 0.439044 2.226424 1.000000
1.046756 -0.909218 6.220845 -3.203990 1.000000
0.531235 -2.184348 -1.842221 0.729151 1.000000
1.188514 -0.075027 2.255094 -0.459599 1.000000
-0.061591 -1.179628 -0.359525 2.124769 1.000000
0.386377 -1.302679 -1.195859 2.424372 1.000000
1.200271 -0.986241 0.342055 -4.978997 1.000000
2.289723 -1.254499 -0.377559 -1.913350 1.000000
1.435101 -0.488104 2.078649 -1.766810 1.000000
0.556746 -1.247323 -1.529276 2.740781 1.000000
0.130767 -0.963239 0.101296 2.395161 1.000000
-0.301812 -0.920884 0.118776 1.954385 1.000000
0.530004 -1.613332 -2.019111 1.547244 1.000000
1.092996 -0.000582 2.222303 -0.206786 1.000000
0.119354 0.151700 1.475222 1.128028 1.000000
1.054959 -0.817813 4.907475 -1.480399 1.000000
1.785254 -0.705772 0.856765 -2.286593 1.000000
1.071249 -0.888100 5.178670 -3.297350 1.000000
0.952772 -1.500746 -3.139004 0.296057 1.000000
1.278270 -1.323809 -2.595420 -2.230417 1.000000
1.495363 -0.609331 1.743317 -2.210501 1.000000
0.292110 -0.597269 1.225230 2.153614 1.000000
0.985556 -0.827486 5.355466 0.448394 1.000000
1.321683 -1.227451 -2.056719 -2.908811 1.000000
1.093440 -0.755548 4.082898 -1.560666 1.000000
0.400808 -0.460224 1.666551 1.849998 1.000000
1.227680 -0.754900 2.832503 -2.631190 1.000000
1.272494 -1.032003 -0.497935 -4.239792 1.000000
1.213654 -0.715388 2.997637 -2.250279 1.000000
2.135563 -1.119332 -0.218699 -2.081144 1.000000
1.379121 -1.189024 -1.532930 -3.074551 1.000000
1.294082 -0.636846 2.542077 -2.058570 1.000000
1.082355 -0.673961 3.738561 -0.944333 1.000000
0.285365 -1.244268 -0.832212 2.434736 1.000000
0.396455 -0.824593 0.787146 2.708437 1.000000
0.549011 -1.172186 -1.147918 3.006628 1.000000
0.702582 -1.466720 -2.534821 1.615316 1.000000
1.552410 -1.719345 -1.862195 -1.430044 1.000000
